locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOLKDBPD_03099	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
NOLKDBPD_03100	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
NOLKDBPD_03101	CDS	285				hypothetical protein
NOLKDBPD_03102	CDS	1323	fadL		COG2067	Long-chain fatty acid transport protein
NOLKDBPD_03103	CDS	762	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
NOLKDBPD_03104	CDS	930	yfdC		COG2116	Inner membrane protein YfdC
NOLKDBPD_03105	tRNA	75				tRNA-Arg(cct)
NOLKDBPD_03106	CDS	483				hypothetical protein
NOLKDBPD_03107	CDS	882				hypothetical protein
NOLKDBPD_03108	CDS	909	cynR_3			HTH-type transcriptional regulator CynR
NOLKDBPD_03109	CDS	459	guaD_1	3.5.4.3	COG0590	Guanine deaminase
NOLKDBPD_03110	CDS	1197	yycB		COG2807	putative transporter YycB
NOLKDBPD_03111	CDS	1215	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
NOLKDBPD_03112	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
NOLKDBPD_03113	CDS	738	ypdB		COG3279	Transcriptional regulatory protein YpdB
NOLKDBPD_03114	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
NOLKDBPD_03115	CDS	1236	yfeO			Putative ion-transport protein YfeO
NOLKDBPD_03116	CDS	1662	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
NOLKDBPD_03117	CDS	993	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
NOLKDBPD_03118	CDS	360				hypothetical protein
NOLKDBPD_03119	CDS	1242	mntH		COG1914	Divalent metal cation transporter MntH
NOLKDBPD_03120	CDS	1203	nupC_2		COG1972	Nucleoside permease NupC
NOLKDBPD_03121	CDS	2172	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
NOLKDBPD_03122	tRNA	76				tRNA-Ala(ggc)
NOLKDBPD_03123	tRNA	76				tRNA-Ala(ggc)
NOLKDBPD_03124	CDS	354				hypothetical protein
NOLKDBPD_03125	CDS	393				hypothetical protein
NOLKDBPD_03126	CDS	1419	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
NOLKDBPD_03127	tRNA	76				tRNA-Val(tac)
NOLKDBPD_03128	tRNA	76				tRNA-Val(tac)
NOLKDBPD_03129	tRNA	76				tRNA-Val(tac)
NOLKDBPD_03130	tRNA	76				tRNA-Lys(ttt)
NOLKDBPD_03131	CDS	927	cynR_4			HTH-type transcriptional regulator CynR
NOLKDBPD_03132	CDS	999				hypothetical protein
NOLKDBPD_03133	CDS	219				hypothetical protein
NOLKDBPD_03134	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
NOLKDBPD_03135	CDS	1062	zipA		COG3115	Cell division protein ZipA
NOLKDBPD_03136	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
NOLKDBPD_03137	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
NOLKDBPD_03138	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
NOLKDBPD_03139	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
NOLKDBPD_03140	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
NOLKDBPD_03141	CDS	240				hypothetical protein
NOLKDBPD_03142	CDS	867	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
NOLKDBPD_03143	CDS	1299	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
NOLKDBPD_03144	CDS	396	yybH		COG4319	putative protein YybH
NOLKDBPD_03145	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
NOLKDBPD_03146	CDS	1095	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
NOLKDBPD_03147	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
NOLKDBPD_03148	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
NOLKDBPD_03149	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
NOLKDBPD_03150	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
NOLKDBPD_03151	CDS	576	yfeY			putative protein YfeY
NOLKDBPD_03152	CDS	450	yfeZ			Inner membrane protein YfeZ
NOLKDBPD_03153	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
NOLKDBPD_03154	CDS	873	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
NOLKDBPD_03155	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
NOLKDBPD_03156	CDS	1053				hypothetical protein
NOLKDBPD_03157	CDS	486	eutK		COG4577	Ethanolamine utilization protein EutK
NOLKDBPD_03158	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
NOLKDBPD_03159	CDS	900	eutC_2	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
NOLKDBPD_03160	CDS	1362	eutB_2	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
NOLKDBPD_03161	CDS	1404				hypothetical protein
NOLKDBPD_03162	CDS	1233				hypothetical protein
NOLKDBPD_03163	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
NOLKDBPD_03164	CDS	840	ftsA_1			Cell division protein FtsA
NOLKDBPD_03165	CDS	1404	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
NOLKDBPD_03166	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
NOLKDBPD_03167	CDS	291	eutM		COG4577	Ethanolamine utilization protein EutM
NOLKDBPD_03168	CDS	705	eutD_1		COG0280	Ethanolamine utilization protein EutD
NOLKDBPD_03169	CDS	267	eutD_2		COG0280	Ethanolamine utilization protein EutD
NOLKDBPD_03170	CDS	807				hypothetical protein
NOLKDBPD_03171	CDS	690	eutQ		COG4766	Ethanolamine utilization protein EutQ
NOLKDBPD_03172	CDS	480				hypothetical protein
NOLKDBPD_03173	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
NOLKDBPD_03174	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
NOLKDBPD_03175	CDS	957	tal	2.2.1.2		Transaldolase
NOLKDBPD_03176	CDS	1995	tktB	2.2.1.1	COG0021	Transketolase 2
NOLKDBPD_03177	CDS	1047				hypothetical protein
NOLKDBPD_03178	CDS	597	nudK_1	3.6.1.-		GDP-mannose pyrophosphatase NudK
NOLKDBPD_03179	CDS	1983		1.18.1.2		Ferredoxin--NADP reductase
NOLKDBPD_03180	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
NOLKDBPD_03181	CDS	354	yffB		COG1393	Protein YffB
NOLKDBPD_03182	CDS	1128	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
NOLKDBPD_03183	CDS	207				hypothetical protein
NOLKDBPD_03184	CDS	696				hypothetical protein
NOLKDBPD_03185	CDS	2004	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
NOLKDBPD_03186	CDS	876				hypothetical protein
NOLKDBPD_03187	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
NOLKDBPD_03188	CDS	285	bamC		COG3317	Outer membrane protein assembly factor BamC
NOLKDBPD_03189	rRNA	401				16S ribosomal RNA (partial)
NOLKDBPD_03190	rRNA	2831				23S ribosomal RNA
NOLKDBPD_03191	rRNA	111				5S ribosomal RNA
NOLKDBPD_03192	tRNA	76				tRNA-Thr(ggt)
NOLKDBPD_03193	rRNA	110				5S ribosomal RNA
NOLKDBPD_03194	CDS	222				hypothetical protein
NOLKDBPD_03195	CDS	3111	acrF_1		COG0841	Multidrug export protein AcrF
NOLKDBPD_03196	CDS	1140	acrE			Multidrug export protein AcrE
NOLKDBPD_03197	CDS	651	acrR_2		COG1309	HTH-type transcriptional regulator AcrR
NOLKDBPD_03198	CDS	297	fis		COG2901	DNA-binding protein Fis
NOLKDBPD_03199	CDS	966	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
NOLKDBPD_03200	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
NOLKDBPD_03201	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
NOLKDBPD_03202	CDS	243	yhdT		COG3924	putative membrane protein YhdT
NOLKDBPD_03203	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
NOLKDBPD_03204	CDS	468	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NOLKDBPD_03205	CDS	453	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
NOLKDBPD_03206	CDS	609	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
NOLKDBPD_03207	CDS	1002	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
NOLKDBPD_03208	CDS	1941	csrD			RNase E specificity factor CsrD
NOLKDBPD_03209	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
NOLKDBPD_03210	CDS	993	mreC		COG1792	Cell shape-determining protein MreC
NOLKDBPD_03211	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
NOLKDBPD_03212	CDS	582	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
NOLKDBPD_03213	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
NOLKDBPD_03214	CDS	3798				hypothetical protein
NOLKDBPD_03215	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
NOLKDBPD_03216	CDS	930	dmlR_9			HTH-type transcriptional regulator DmlR
NOLKDBPD_03217	CDS	204	aaeX			Protein AaeX
NOLKDBPD_03218	CDS	933	aaeA_2		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
NOLKDBPD_03219	CDS	1968	aaeB_2		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
NOLKDBPD_03220	CDS	276	yhcO		COG2732	putative protein YhcO
NOLKDBPD_03221	CDS	267				hypothetical protein
NOLKDBPD_03222	CDS	264				hypothetical protein
NOLKDBPD_03223	CDS	471	argR		COG1438	Arginine repressor
NOLKDBPD_03224	CDS	939	mdh_2	1.1.1.37	COG0039	Malate dehydrogenase
NOLKDBPD_03225	CDS	630				hypothetical protein
NOLKDBPD_03226	CDS	666				hypothetical protein
NOLKDBPD_03227	CDS	1269	sdcS			Sodium-dependent dicarboxylate transporter SdcS
NOLKDBPD_03228	CDS	900	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
NOLKDBPD_03229	CDS	618	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
NOLKDBPD_03230	CDS	252	oadG	7.2.4.2	COG3630	Oxaloacetate decarboxylase gamma chain
NOLKDBPD_03231	CDS	1785	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
NOLKDBPD_03232	CDS	1302	oadB	7.2.4.2	COG1883	Oxaloacetate decarboxylase beta chain
NOLKDBPD_03233	CDS	711	citG_2	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
NOLKDBPD_03234	CDS	909	degS	3.4.21.107	COG0265	Serine endoprotease DegS
NOLKDBPD_03235	rRNA	78				5S ribosomal RNA (partial)
NOLKDBPD_03236	rRNA	83				5S ribosomal RNA (partial)
NOLKDBPD_03237	tRNA	77				tRNA-Asp(gtc)
NOLKDBPD_03238	tRNA	76				tRNA-Trp(cca)
NOLKDBPD_03239	CDS	822	hdfR_3			HTH-type transcriptional regulator HdfR
NOLKDBPD_03240	CDS	339				hypothetical protein
NOLKDBPD_03241	CDS	1521	comM		COG0606	Competence protein ComM
NOLKDBPD_03242	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
NOLKDBPD_03243	CDS	258	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
NOLKDBPD_03244	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
NOLKDBPD_03245	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
NOLKDBPD_03246	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
NOLKDBPD_03247	CDS	891	oxyR_4			Hydrogen peroxide-inducible genes activator
NOLKDBPD_03248	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
NOLKDBPD_03249	CDS	282	ppiC_1	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
NOLKDBPD_03250	CDS	282	ppiC_2	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
NOLKDBPD_03251	CDS	2022	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
NOLKDBPD_03252	CDS	723	ydfK_2		COG1811	putative membrane protein YdfK
NOLKDBPD_03253	CDS	999				hypothetical protein
NOLKDBPD_03254	CDS	927	pcpR_2			PCP degradation transcriptional activation protein
NOLKDBPD_03255	CDS	1509	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
NOLKDBPD_03256	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
NOLKDBPD_03257	CDS	330	trxA_1		COG0526	Thioredoxin 1
NOLKDBPD_03258	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
NOLKDBPD_03259	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
NOLKDBPD_03260	CDS	1017	wzzE		COG3765	ECA polysaccharide chain length modulation protein
NOLKDBPD_03261	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
NOLKDBPD_03262	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
NOLKDBPD_03263	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
NOLKDBPD_03264	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
NOLKDBPD_03265	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
NOLKDBPD_03266	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
NOLKDBPD_03267	CDS	1251	wzxE		COG2244	Lipid III flippase
NOLKDBPD_03268	CDS	1077	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
NOLKDBPD_03269	CDS	1347	wzyE			putative ECA polymerase
NOLKDBPD_03270	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
NOLKDBPD_03271	CDS	1386	yifK		COG1113	putative transport protein YifK
NOLKDBPD_03272	tRNA	77				tRNA-Arg(ccg)
NOLKDBPD_03273	tRNA	76				tRNA-His(gtg)
NOLKDBPD_03274	tRNA	87				tRNA-Leu(cag)
NOLKDBPD_03275	tRNA	77				tRNA-Pro(tgg)
NOLKDBPD_03276	CDS	1197	hemY		COG3071	Protein HemY
NOLKDBPD_03277	CDS	1182	hemX		COG2959	Protein HemX
NOLKDBPD_03278	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
NOLKDBPD_03279	CDS	957	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
NOLKDBPD_03280	CDS	2631	cyaA	4.6.1.1	COG3072	Adenylate cyclase
NOLKDBPD_03281	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
NOLKDBPD_03282	CDS	225				hypothetical protein
NOLKDBPD_03283	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
NOLKDBPD_03284	CDS	708				hypothetical protein
NOLKDBPD_03285	CDS	903	xerC_4		COG4973	Tyrosine recombinase XerC
NOLKDBPD_03286	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
NOLKDBPD_03287	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
NOLKDBPD_03288	CDS	951	corA		COG0598	Magnesium transport protein CorA
NOLKDBPD_03289	CDS	894	rarD		COG2962	Protein RarD
NOLKDBPD_03290	CDS	465				hypothetical protein
NOLKDBPD_03291	CDS	861	pldA	3.1.1.32	COG2829	Phospholipase A1
NOLKDBPD_03292	CDS	1827	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
NOLKDBPD_03293	CDS	621	rhtC_2		COG1280	Threonine efflux protein
NOLKDBPD_03294	CDS	921				ISNCY family transposase ISRor2
NOLKDBPD_03295	CDS	621	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
NOLKDBPD_03296	CDS	993	pldB	3.1.1.5	COG2267	Lysophospholipase L2
NOLKDBPD_03297	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
NOLKDBPD_03298	CDS	900	bioP		COG0697	Biotin transporter
NOLKDBPD_03299	CDS	954	metR_1			HTH-type transcriptional regulator MetR
NOLKDBPD_03300	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
NOLKDBPD_03301	CDS	813	clcD	3.1.1.45		Carboxymethylenebutenolidase
NOLKDBPD_03302	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
NOLKDBPD_03303	CDS	1449				hypothetical protein
NOLKDBPD_03304	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
NOLKDBPD_03305	CDS	606	ubiJ_2		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
NOLKDBPD_03306	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
NOLKDBPD_03307	CDS	252	tatA		COG1826	Sec-independent protein translocase protein TatA
NOLKDBPD_03308	CDS	537	tatB		COG1826	Sec-independent protein translocase protein TatB
NOLKDBPD_03309	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
NOLKDBPD_03310	CDS	792	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
NOLKDBPD_03311	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
NOLKDBPD_03312	CDS	1476	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
NOLKDBPD_03313	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
NOLKDBPD_03314	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
NOLKDBPD_03315	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
NOLKDBPD_03316	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
NOLKDBPD_03317	CDS	615	yigZ		COG1739	IMPACT family member YigZ
NOLKDBPD_03318	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
NOLKDBPD_03319	CDS	534	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
NOLKDBPD_03320	rRNA	450				16S ribosomal RNA (partial)
NOLKDBPD_03321	tRNA	77				tRNA-Asp(gtc)
NOLKDBPD_03322	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
NOLKDBPD_03323	CDS	906	dmlR_10			HTH-type transcriptional regulator DmlR
NOLKDBPD_03324	CDS	1191	ydhP_2		COG2814	Inner membrane transport protein YdhP
NOLKDBPD_03325	CDS	807				hypothetical protein
NOLKDBPD_03326	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
NOLKDBPD_03327	CDS	1155	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
NOLKDBPD_03328	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
NOLKDBPD_03329	CDS	723				hypothetical protein
NOLKDBPD_03330	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
NOLKDBPD_03331	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
NOLKDBPD_03332	tRNA	77				tRNA-Asp(gtc)
NOLKDBPD_03333	CDS	882	cmpR_2			HTH-type transcriptional activator CmpR
NOLKDBPD_03334	CDS	591	eamB		COG1280	Cysteine/O-acetylserine efflux protein
NOLKDBPD_03335	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
NOLKDBPD_03336	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
NOLKDBPD_03337	CDS	582	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
NOLKDBPD_03338	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
NOLKDBPD_03339	CDS	741				hypothetical protein
NOLKDBPD_03340	CDS	1344	nqrA	7.2.1.1	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
NOLKDBPD_03341	CDS	1239	nqrB	7.2.1.1	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
NOLKDBPD_03342	CDS	795	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
NOLKDBPD_03343	CDS	639	nqrD	7.2.1.1	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
NOLKDBPD_03344	CDS	597	nqrE	7.2.1.1	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
NOLKDBPD_03345	CDS	1224	nqrF	7.2.1.1	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
NOLKDBPD_03346	CDS	216				hypothetical protein
NOLKDBPD_03347	CDS	861			COG0584	putative protein
NOLKDBPD_03348	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
NOLKDBPD_03349	CDS	453	yafP_1	2.3.1.-	COG0454	putative N-acetyltransferase YafP
NOLKDBPD_03350	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
NOLKDBPD_03351	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
NOLKDBPD_03352	CDS	1245				hypothetical protein
NOLKDBPD_03353	CDS	399	crl			Sigma factor-binding protein Crl
NOLKDBPD_03354	CDS	693	glaR		COG1802	HTH-type transcriptional repressor GlaR
NOLKDBPD_03355	CDS	1401	gabP		COG1113	GABA permease
NOLKDBPD_03356	CDS	1284	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
NOLKDBPD_03357	CDS	1449	gabD_2	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
NOLKDBPD_03358	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
NOLKDBPD_03359	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
NOLKDBPD_03360	CDS	258				hypothetical protein
NOLKDBPD_03361	CDS	750	yjhP			putative protein YjhP
NOLKDBPD_03362	CDS	639	gstB_2	2.5.1.18	COG0625	Glutathione S-transferase GstB
NOLKDBPD_03363	CDS	1263	gatC		COG3775	PTS system galactitol-specific EIIC component
NOLKDBPD_03364	CDS	996		1.17.1.9		Formate dehydrogenase, mitochondrial
NOLKDBPD_03365	CDS	762	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NOLKDBPD_03366	CDS	1539	lyx_2	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
NOLKDBPD_03367	CDS	552	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
NOLKDBPD_03368	CDS	792	lsrF_2	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
NOLKDBPD_03369	CDS	252				hypothetical protein
NOLKDBPD_03370	CDS	1398	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
NOLKDBPD_03371	CDS	1536	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
NOLKDBPD_03372	CDS	1020	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
NOLKDBPD_03373	CDS	960	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
NOLKDBPD_03374	CDS	2766	pknK	2.7.11.1	COG2909	Serine/threonine-protein kinase PknK
NOLKDBPD_03375	CDS	258				IS3 family transposase ISEhe3
NOLKDBPD_03376	CDS	2190				hypothetical protein
NOLKDBPD_03377	CDS	744				hypothetical protein
NOLKDBPD_03378	CDS	1683				hypothetical protein
NOLKDBPD_03379	CDS	3243				hypothetical protein
NOLKDBPD_03380	CDS	1401	xerC_5			Tyrosine recombinase XerC
NOLKDBPD_03381	CDS	693				hypothetical protein
NOLKDBPD_03382	CDS	543				IS66 family transposase ISSgsp1
NOLKDBPD_03383	CDS	3318				hypothetical protein
NOLKDBPD_03384	CDS	711				hypothetical protein
NOLKDBPD_03385	CDS	387				hypothetical protein
NOLKDBPD_03386	CDS	471				hypothetical protein
NOLKDBPD_03387	CDS	288				hypothetical protein
NOLKDBPD_03388	CDS	255				hypothetical protein
NOLKDBPD_03389	CDS	285				hypothetical protein
NOLKDBPD_03390	CDS	375				hypothetical protein
NOLKDBPD_03391	CDS	294				hypothetical protein
NOLKDBPD_03392	CDS	651				hypothetical protein
NOLKDBPD_03393	CDS	1107				hypothetical protein
NOLKDBPD_03394	CDS	639				hypothetical protein
NOLKDBPD_03395	CDS	1020				hypothetical protein
NOLKDBPD_03396	CDS	186				hypothetical protein
NOLKDBPD_03397	CDS	1320				hypothetical protein
NOLKDBPD_03398	CDS	3507				hypothetical protein
NOLKDBPD_03399	CDS	783				hypothetical protein
NOLKDBPD_03400	CDS	1770				hypothetical protein
NOLKDBPD_03401	CDS	318				hypothetical protein
NOLKDBPD_03402	tRNA	76				tRNA-Thr(cgt)
NOLKDBPD_03403	CDS	1254	proA_2	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
NOLKDBPD_03404	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
NOLKDBPD_03405	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
NOLKDBPD_03406	CDS	462				hypothetical protein
NOLKDBPD_03407	CDS	870				hypothetical protein
NOLKDBPD_03408	CDS	666		3.1.3.-	COG0560	putative phosphatase
NOLKDBPD_03409	CDS	885				hypothetical protein
NOLKDBPD_03410	CDS	873				hypothetical protein
NOLKDBPD_03411	CDS	939				hypothetical protein
NOLKDBPD_03412	CDS	843	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
NOLKDBPD_03413	CDS	276			COG1662	IS1 family transposase IS1D
NOLKDBPD_03414	CDS	378			COG1662	IS1 family transposase IS1R
NOLKDBPD_03415	CDS	2202				hypothetical protein
NOLKDBPD_03416	CDS	579	hin_3		COG1961	DNA-invertase hin
NOLKDBPD_03417	CDS	420	umuD_2	3.4.21.-	COG1974	Protein UmuD
NOLKDBPD_03418	CDS	1266	umuC_2		COG0389	Protein UmuC
NOLKDBPD_03419	CDS	1107		3.6.1.-	COG1106	ATP/GTP phosphatase
NOLKDBPD_03420	CDS	654				hypothetical protein
NOLKDBPD_03421	CDS	966	sapB		COG4168	Putrescine export system permease protein SapB
NOLKDBPD_03422	CDS	1644	sapA		COG4166	Peptide transport periplasmic protein SapA
NOLKDBPD_03423	CDS	906				hypothetical protein
NOLKDBPD_03424	CDS	831				hypothetical protein
NOLKDBPD_03425	CDS	2310	rhaR_4			HTH-type transcriptional activator RhaR
